regiao,estado,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Norte,RO,11,20/03/20,12,1,1,0,0
Norte,RO,11,21/03/20,12,1,0,0,0
Norte,RO,11,22/03/20,13,3,2,0,0
Norte,RO,11,23/03/20,13,3,0,0,0
Norte,RO,11,24/03/20,13,3,0,0,0
Norte,RO,11,25/03/20,13,5,2,0,0
Norte,RO,11,26/03/20,13,5,0,0,0
Norte,RO,11,27/03/20,13,6,1,0,0
Norte,RO,11,28/03/20,13,6,0,0,0
Norte,RO,11,29/03/20,14,6,0,0,0
Norte,RO,11,30/03/20,14,6,0,0,0
Norte,RO,11,31/03/20,14,8,2,1,1
Norte,RO,11,01/04/20,14,9,1,1,0
Norte,RO,11,02/04/20,14,10,1,1,0
Norte,RO,11,03/04/20,14,10,0,1,0
Norte,RO,11,04/04/20,14,11,1,1,0
Norte,RO,11,05/04/20,15,12,1,1,0
Norte,RO,11,06/04/20,15,14,2,1,0
Norte,RO,11,07/04/20,15,18,4,1,0
Norte,RO,11,08/04/20,15,18,0,1,0
Norte,RO,11,09/04/20,15,28,10,2,1
Norte,RO,11,10/04/20,15,32,4,2,0
Norte,RO,11,11/04/20,15,33,1,2,0
Norte,RO,11,12/04/20,16,35,2,2,0
Norte,RO,11,13/04/20,16,42,7,2,0
Norte,RO,11,14/04/20,16,64,22,2,0
Norte,RO,11,15/04/20,16,69,5,2,0
Norte,RO,11,16/04/20,16,76,7,3,1
Norte,RO,11,17/04/20,16,92,16,3,0
Norte,RO,11,18/04/20,16,110,18,3,0
Norte,RO,11,19/04/20,17,128,18,4,1
Norte,RO,11,20/04/20,17,160,32,4,0
Norte,RO,11,21/04/20,17,199,39,4,0
Norte,RO,11,22/04/20,17,223,24,5,1
Norte,RO,11,23/04/20,17,250,27,5,0
Norte,RO,11,24/04/20,17,290,40,5,0
Norte,RO,11,25/04/20,17,328,38,7,2
Norte,RO,11,26/04/20,18,364,36,10,3
Norte,RO,11,27/04/20,18,393,29,10,0
Norte,RO,11,28/04/20,18,413,20,11,1
Norte,RO,11,29/04/20,18,433,20,15,4
Norte,RO,11,30/04/20,18,502,69,16,1
Norte,RO,11,01/05/20,18,585,83,18,2
Norte,RO,11,02/05/20,18,653,68,23,5
Norte,RO,11,03/05/20,19,705,52,24,1
Norte,RO,11,04/05/20,19,756,51,25,1
Norte,RO,11,05/05/20,19,861,105,29,4
Norte,RO,11,06/05/20,19,943,82,33,4
Norte,RO,11,07/05/20,19,1098,155,37,4
Norte,RO,11,08/05/20,19,1222,124,39,2
Norte,RO,11,09/05/20,19,1263,41,41,2
Norte,RO,11,10/05/20,20,1302,39,43,2
Norte,RO,11,11/05/20,20,1396,94,47,4
Norte,RO,11,12/05/20,20,1460,64,50,3
Norte,RO,11,13/05/20,20,1612,152,50,0
Norte,RO,11,14/05/20,20,1686,74,56,6
Norte,RO,11,15/05/20,20,1789,103,62,6
Norte,RO,11,16/05/20,20,1919,130,69,7
Norte,RO,11,17/05/20,21,1963,44,74,5
Norte,RO,11,18/05/20,21,2043,80,77,3
Norte,RO,11,19/05/20,21,2257,214,87,10
Norte,RO,11,20/05/20,21,2499,242,90,3
Norte,RO,11,21/05/20,21,2659,160,101,11
Norte,RO,11,22/05/20,21,2774,115,106,5
Norte,RO,11,23/05/20,21,3109,335,115,9
Norte,RO,11,24/05/20,22,3201,92,121,6
Norte,RO,11,25/05/20,22,3268,67,121,0
Norte,RO,11,26/05/20,22,3493,225,133,12
Norte,RO,11,27/05/20,22,3862,369,137,4
Norte,RO,11,28/05/20,22,4252,390,142,5
Norte,RO,11,29/05/20,22,4502,250,145,3
Norte,RO,11,30/05/20,22,4743,241,151,6
Norte,RO,11,31/05/20,23,4942,199,156,5
Norte,RO,11,01/06/20,23,5172,230,159,3
Norte,RO,11,02/06/20,23,5477,305,172,13
Norte,RO,11,03/06/20,23,5713,236,180,8
Norte,RO,11,04/06/20,23,6459,746,194,14
Norte,RO,11,05/06/20,23,6862,403,213,19
Norte,RO,11,06/06/20,23,7700,838,228,15
Norte,RO,11,07/06/20,24,8110,410,235,7
Norte,RO,11,08/06/20,24,8626,516,245,10
Norte,AC,12,19/03/20,12,3,3,0,0
Norte,AC,12,20/03/20,12,7,4,0,0
Norte,AC,12,21/03/20,12,9,2,0,0
Norte,AC,12,22/03/20,13,11,2,0,0
Norte,AC,12,23/03/20,13,11,0,0,0
Norte,AC,12,24/03/20,13,17,6,0,0
Norte,AC,12,25/03/20,13,23,6,0,0
Norte,AC,12,26/03/20,13,24,1,0,0
Norte,AC,12,27/03/20,13,25,1,0,0
Norte,AC,12,28/03/20,13,25,0,0,0
Norte,AC,12,29/03/20,14,34,9,0,0
Norte,AC,12,30/03/20,14,42,8,0,0
Norte,AC,12,31/03/20,14,42,0,0,0
Norte,AC,12,01/04/20,14,43,1,0,0
Norte,AC,12,02/04/20,14,43,0,0,0
Norte,AC,12,03/04/20,14,46,3,0,0
Norte,AC,12,04/04/20,14,46,0,0,0
Norte,AC,12,05/04/20,15,48,2,0,0
Norte,AC,12,06/04/20,15,50,2,0,0
Norte,AC,12,07/04/20,15,50,0,1,1
Norte,AC,12,08/04/20,15,54,4,2,1
Norte,AC,12,09/04/20,15,62,8,2,0
Norte,AC,12,10/04/20,15,70,8,2,0
Norte,AC,12,11/04/20,15,72,2,2,0
Norte,AC,12,12/04/20,16,77,5,2,0
Norte,AC,12,13/04/20,16,90,13,3,1
Norte,AC,12,14/04/20,16,99,9,3,0
Norte,AC,12,15/04/20,16,101,2,3,0
Norte,AC,12,16/04/20,16,110,9,5,2
Norte,AC,12,17/04/20,16,135,25,5,0
Norte,AC,12,18/04/20,16,142,7,5,0
Norte,AC,12,19/04/20,17,163,21,6,1
Norte,AC,12,20/04/20,17,176,13,8,2
Norte,AC,12,21/04/20,17,195,19,8,0
Norte,AC,12,22/04/20,17,214,19,8,0
Norte,AC,12,23/04/20,17,227,13,10,2
Norte,AC,12,24/04/20,17,234,7,11,1
Norte,AC,12,25/04/20,17,258,24,11,0
Norte,AC,12,26/04/20,18,279,21,11,0
Norte,AC,12,27/04/20,18,279,0,14,3
Norte,AC,12,28/04/20,18,311,32,16,2
Norte,AC,12,29/04/20,18,354,43,17,1
Norte,AC,12,30/04/20,18,404,50,19,2
Norte,AC,12,01/05/20,18,486,82,19,0
Norte,AC,12,02/05/20,18,553,67,21,2
Norte,AC,12,03/05/20,19,657,104,24,3
Norte,AC,12,04/05/20,19,733,76,28,4
Norte,AC,12,05/05/20,19,817,84,29,1
Norte,AC,12,06/05/20,19,943,126,33,4
Norte,AC,12,07/05/20,19,1014,71,36,3
Norte,AC,12,08/05/20,19,1177,163,38,2
Norte,AC,12,09/05/20,19,1335,158,39,1
Norte,AC,12,10/05/20,20,1447,112,41,2
Norte,AC,12,11/05/20,20,1460,13,45,4
Norte,AC,12,12/05/20,20,1590,130,51,6
Norte,AC,12,13/05/20,20,1694,104,52,1
Norte,AC,12,14/05/20,20,1740,46,55,3
Norte,AC,12,15/05/20,20,1785,45,57,2
Norte,AC,12,16/05/20,20,1867,82,59,2
Norte,AC,12,17/05/20,21,1997,130,60,1
Norte,AC,12,18/05/20,21,2234,237,67,7
Norte,AC,12,19/05/20,21,2482,248,72,5
Norte,AC,12,20/05/20,21,2817,335,76,4
Norte,AC,12,21/05/20,21,3103,286,78,2
Norte,AC,12,22/05/20,21,3343,240,80,2
Norte,AC,12,23/05/20,21,3867,524,87,7
Norte,AC,12,24/05/20,22,4160,293,92,5
Norte,AC,12,25/05/20,22,4501,341,97,5
Norte,AC,12,26/05/20,22,4781,280,105,8
Norte,AC,12,27/05/20,22,5251,470,113,8
Norte,AC,12,28/05/20,22,5600,349,122,9
Norte,AC,12,29/05/20,22,5841,241,135,13
Norte,AC,12,30/05/20,22,6072,231,142,7
Norte,AC,12,31/05/20,23,6219,147,148,6
Norte,AC,12,01/06/20,23,6326,107,161,13
Norte,AC,12,02/06/20,23,6465,139,165,4
Norte,AC,12,03/06/20,23,6679,214,171,6
Norte,AC,12,04/06/20,23,7021,342,181,10
Norte,AC,12,05/06/20,23,7284,263,190,9
Norte,AC,12,06/06/20,23,7525,241,201,11
Norte,AC,12,07/06/20,24,7983,458,207,6
Norte,AC,12,08/06/20,24,8128,145,211,4
Norte,AM,13,15/03/20,12,1,1,0,0
Norte,AM,13,16/03/20,12,1,0,0,0
Norte,AM,13,17/03/20,12,1,0,0,0
Norte,AM,13,18/03/20,12,1,0,0,0
Norte,AM,13,19/03/20,12,3,2,0,0
Norte,AM,13,20/03/20,12,3,0,0,0
Norte,AM,13,21/03/20,12,11,8,0,0
Norte,AM,13,22/03/20,13,26,15,0,0
Norte,AM,13,23/03/20,13,32,6,0,0
Norte,AM,13,24/03/20,13,47,15,0,0
Norte,AM,13,25/03/20,13,54,7,1,1
Norte,AM,13,26/03/20,13,67,13,1,0
Norte,AM,13,27/03/20,13,81,14,1,0
Norte,AM,13,28/03/20,13,111,30,1,0
Norte,AM,13,29/03/20,14,140,29,1,0
Norte,AM,13,30/03/20,14,151,11,1,0
Norte,AM,13,31/03/20,14,175,24,3,2
Norte,AM,13,01/04/20,14,200,25,3,0
